ExpGroup,count,median,mean,std
0-2,2996,80721.5560743256,99599.67813263046,371351.38060845603
3-5,4778,126012.98425682976,160051.5659722614,460898.04879817873
6-10,5848,183079.54545454544,237818.57606269486,943913.5604606383
11-20,5108,220848.05653710244,283179.64797938813,659142.1196385487
21+,2619,229893.84288747344,271714.7332221819,213615.8358847433
