model,accuracy,precision,recall,f1
Random Forest,0.756,0.7337278106508875,0.7987117552334944,0.7648419429452583
Logistic Regression,0.7584,0.7552,0.7600644122383253,0.7576243980738363
Decision Tree,0.7376,0.7078014184397163,0.8035426731078905,0.7526395173453997
kNN,0.7264,0.7085201793721974,0.7632850241545893,0.7348837209302326
Baseline,0.5032,0.0,0.0,0.0
