RemoteWork,count,median,mean,std
"Hybrid (some remote, some in-person)",8947,162174.09766454351,199476.95666053897,715705.3355487578
In-person,3429,116299.36305732484,170048.91430847117,610699.8597846103
Remote,9021,203180.21201413425,249940.37867891285,595044.1534477717
