EduGroup,count,median,mean,std
Associate,692,146226.96381288616,182483.88822455058,410961.7783635926
Bachelor,9724,170838.0281690141,210284.15536586096,474761.63791432476
Master,6204,181978.79858657243,228535.31707029106,369939.52922315645
Other,195,121709.12951167728,142317.0460070588,101191.34160042397
Professional/Doctorate,828,195284.0909090909,415843.9766812412,2623970.765852921
School or less,1208,113827.23660813514,146648.7346601897,228969.68789072454
Some college,2554,150513.90102036763,190213.90781814017,211948.11359105376
